iter	MAE
0	63.53947875
1	62.14366515
2	60.81747901
3	59.6178851
4	58.40533713
5	57.2208934
6	56.06858345
7	54.93153617
8	53.7007788
9	52.63633364
10	51.41394691
11	50.33567801
12	49.33775109
13	48.37746989
14	47.54888303
15	46.69069955
16	45.77030148
17	44.74783495
18	43.79788609
19	43.06795478
20	42.2219979
21	41.33742198
22	40.51743949
23	39.83587875
24	39.04062945
25	38.34615027
26	37.77605062
27	37.12168054
28	36.42138401
29	35.74406877
30	35.15988218
31	34.54273896
32	33.89639973
33	33.31806365
34	32.69956597
35	32.17868163
36	31.60496611
37	31.06491314
38	30.52062231
39	29.99243954
40	29.4958604
41	28.96848747
42	28.52634734
43	28.0576719
44	27.53385948
45	27.10274164
46	26.60576391
47	26.18435341
48	25.67607134
49	25.20872523
50	24.76679136
51	24.40828035
52	23.94252991
53	23.52456549
54	23.14860756
55	22.81353149
56	22.36403209
57	22.04372331
58	21.7548893
59	21.44108273
60	21.12144131
61	20.81202933
62	20.49989497
63	20.1540837
64	19.81342067
65	19.52535256
66	19.17970056
67	18.87969466
68	18.60231977
69	18.27306735
70	18.0641789
71	17.82373267
72	17.63320976
73	17.43903858
74	17.17287912
75	16.89634961
76	16.63907274
77	16.46169096
78	16.21181687
79	16.00017221
80	15.804005
81	15.55656357
82	15.33238914
83	15.13931387
84	14.89505456
85	14.72869415
86	14.51841498
87	14.3755893
88	14.15039113
89	13.94965261
90	13.76846484
91	13.55547529
92	13.37130327
93	13.1959659
94	13.00364619
95	12.81652002
96	12.66374073
97	12.52124748
98	12.31817208
99	12.14925766
100	11.96342343
101	11.84877038
102	11.68914016
103	11.5123933
104	11.45330084
105	11.29731456
106	11.1876652
107	11.04632308
108	10.94900545
109	10.8473741
110	10.72231603
111	10.57135404
112	10.41051919
113	10.31374427
114	10.23371688
115	10.15598637
116	10.03554989
117	9.901857745
118	9.813560426
119	9.721565637
120	9.641816053
121	9.534330609
122	9.416940384
123	9.248637508
124	9.124931036
125	9.037123891
126	8.928890971
127	8.823647128
128	8.724936491
129	8.640371192
130	8.547340142
131	8.421262337
132	8.313866123
133	8.215705135
134	8.126133038
135	8.076970625
136	7.971815605
137	7.855746343
138	7.772407445
139	7.703695876
140	7.62228404
141	7.558314146
142	7.484963209
143	7.430271496
144	7.347477703
145	7.2765807
146	7.234539984
147	7.176320677
148	7.082142403
149	7.029878867
150	6.950960213
151	6.878983961
152	6.818644099
153	6.762996517
154	6.709195816
155	6.659069651
156	6.615520078
157	6.582001901
158	6.496698612
159	6.402477276
160	6.334726763
161	6.271767127
162	6.195750739
163	6.153716399
164	6.091705119
165	6.056481616
166	6.021414865
167	5.984326927
168	5.912033349
169	5.872541954
170	5.825695335
171	5.782076799
172	5.741696168
173	5.697684079
174	5.658012248
175	5.628663554
176	5.554686658
177	5.498741188
178	5.432871274
179	5.397888368
180	5.338394276
181	5.303880298
182	5.268129723
183	5.237051569
184	5.175399396
185	5.14102512
186	5.115400904
187	5.084521927
188	5.055284479
189	5.016088152
190	4.986491375
191	4.93796458
192	4.899696041
193	4.855506176
194	4.827945929
195	4.797570945
196	4.779375939
197	4.73313456
198	4.70825305
199	4.672463831
200	4.648693014
201	4.633337291
202	4.60410463
203	4.547496118
204	4.511848426
205	4.466379131
206	4.447660586
207	4.404599215
208	4.367000849
209	4.345132601
210	4.32632594
211	4.29863045
212	4.268832418
213	4.248900842
214	4.216342415
215	4.186184337
216	4.162312017
217	4.141536475
218	4.115722993
219	4.089680293
220	4.068753589
221	4.029104864
222	3.998836242
223	3.968950854
224	3.941153175
225	3.914116624
226	3.885885393
227	3.839028278
228	3.791762453
229	3.779351385
230	3.75514226
231	3.720742328
232	3.697411028
233	3.676334456
234	3.66071021
235	3.636519875
236	3.612423712
237	3.591008645
238	3.563552329
239	3.528092937
240	3.511170353
241	3.492250888
242	3.46419197
243	3.449168746
244	3.424082058
245	3.39908593
246	3.363817942
247	3.349562183
248	3.327964922
249	3.313869324
250	3.299322743
251	3.277278566
252	3.257718643
253	3.236155022
254	3.22174634
255	3.203211577
256	3.181404182
257	3.170496854
258	3.160577778
259	3.145990691
260	3.129406049
261	3.109261524
262	3.089688232
263	3.072013825
264	3.059381863
265	3.050494819
266	3.034887687
267	3.018050938
268	3.00560654
269	2.9959632
270	2.981923147
271	2.969478747
272	2.950477243
273	2.928217354
274	2.917146137
275	2.903555631
276	2.89338093
277	2.880354365
278	2.865444134
279	2.852744791
280	2.844740449
281	2.830173244
282	2.806277004
283	2.79666107
284	2.781771786
285	2.767911646
286	2.759926337
287	2.743740435
288	2.721515382
289	2.708844639
290	2.699830129
291	2.683799035
292	2.671010768
293	2.65563718
294	2.646056106
295	2.638998233
296	2.6265174
297	2.615941816
