iter	Passed	Remaining
0	1441	863688
1	2925	874654
2	4394	874594
3	5873	875189
4	7363	876204
5	8822	873472
6	10290	871778
7	11788	872331
8	13277	871864
9	14792	872757
10	16364	876234
11	17948	879495
12	19554	882982
13	21283	890883
14	22876	892191
15	24411	891014
16	26108	895377
17	27877	901371
18	29545	903455
19	31031	899920
20	32636	899847
21	34422	904375
22	36033	903965
23	37585	902058
24	39248	902711
25	40849	901832
26	42373	899259
27	43864	896082
28	45341	892765
29	46830	889787
30	48320	886915
31	49803	884010
32	51307	881562
33	52909	880782
34	54575	880996
35	56115	879138
36	57644	877124
37	59227	875945
38	60773	874210
39	62486	874814
40	64021	872881
41	65516	870436
42	66992	867789
43	68483	865379
44	70012	863481
45	71776	864437
46	73416	863817
47	75020	862731
48	76569	861014
49	78396	862358
50	79982	860991
51	81559	859507
52	83219	858887
53	85008	859527
54	86780	859917
55	88362	858378
56	89868	856120
57	91631	856278
58	93542	857741
59	95332	857991
60	97074	857757
61	98598	855583
62	100088	853132
63	101574	850690
64	103061	848274
65	104531	845752
66	106014	843371
67	107503	841055
68	109014	838941
69	110579	837243
70	112199	835967
71	113688	833719
72	115277	832208
73	116850	830584
74	118375	828628
75	119966	827137
76	121605	825970
77	123303	825185
78	125005	824406
79	126719	823676
80	128457	823078
81	130171	822303
82	131802	820985
83	133404	819487
84	135045	818217
85	136650	816722
86	138198	814894
87	139676	812665
88	141215	810796
89	142695	808605
90	144198	806558
91	145685	804437
92	147131	802103
93	148603	799928
94	150092	797858
95	151572	795756
96	153155	794197
97	154661	792244
98	156153	790231
99	157637	788186
100	159047	785788
101	160469	783466
102	162027	781820
103	163580	780154
104	165351	779515
105	167163	779043
106	168772	777616
107	170218	775440
108	171673	773319
109	173072	770961
110	174455	768545
111	175787	765933
112	177321	764208
113	179050	763322
114	180770	762378
115	182087	759742
116	183412	757163
117	184768	754732
118	186324	753127
119	187980	751923
120	189369	749653
121	190754	747381
122	192298	745742
123	193789	743902
124	195106	741406
125	196412	738884
126	197780	736614
127	199081	734112
128	200391	731660
129	201717	729288
130	203035	726898
131	204363	724562
132	205776	722538
133	207365	721138
134	208792	719175
135	210086	716766
136	211407	714463
137	212733	712195
138	214052	709915
139	215371	707649
140	216666	705318
141	217962	703006
142	219262	700719
143	220570	698473
144	221883	696255
145	223200	694062
146	224516	691878
147	225828	689693
148	227141	687521
149	228469	685407
150	229785	683268
151	231083	681087
152	232391	678946
153	233694	676804
154	234994	674661
155	236289	672516
156	237586	670387
157	238855	668189
158	240144	666062
159	241472	664049
160	242783	661998
161	244104	659986
162	245401	657917
163	246722	655920
164	248025	653884
165	249310	651812
166	250605	649774
167	251900	647744
168	253203	645743
169	254512	643768
170	255815	641783
171	257118	639807
172	258426	637850
173	259789	636036
174	261185	634308
175	262632	632705
176	264185	631358
177	265771	630088
178	267214	628475
179	268700	626967
180	270240	625583
181	271622	623835
182	273065	622230
183	274634	620913
184	276071	619296
185	277525	617718
186	279166	616553
187	281123	616079
188	283313	616095
189	285783	616689
190	287322	615262
191	288830	613765
192	290492	612592
193	292057	611213
194	293585	609754
195	295146	608362
196	297719	609040
197	300158	609413
198	301945	608443
199	303783	607567
200	305189	605823
201	306649	604191
202	308150	602638
203	309882	601535
204	311528	600261
205	313165	598967
206	314765	597598
207	316178	595875
208	317508	593998
209	318799	592055
210	320113	590161
211	321457	588327
212	322799	586495
213	324160	584700
214	325503	582877
215	326862	581088
216	328210	579284
217	329611	577575
218	331008	575863
219	332530	574371
220	334020	572822
221	335421	571123
222	336759	569319
223	338365	567970
224	340095	566825
225	342200	566296
226	344300	565744
227	346660	565604
228	349008	565424
229	351049	564731
230	353085	564019
231	354710	562643
232	356226	561095
233	358005	559957
234	359318	558090
235	360721	556367
236	362097	554605
237	363441	552797
238	364766	550965
239	366068	549103
240	367405	547296
241	368717	545458
242	370056	543663
243	371388	541862
244	372717	540060
245	374046	538262
246	375529	536688
247	377035	535146
248	378346	533331
249	379650	531510
250	380960	529701
251	382271	527898
252	383633	526169
253	384957	524390
254	386262	522590
255	387570	520797
256	388883	519015
257	390178	517213
258	391499	515448
259	392802	513665
260	394118	511901
261	395426	510129
262	396781	508424
263	398293	506919
264	399630	505192
265	401090	503624
266	402650	502182
267	404139	500650
268	405652	499148
269	407070	497530
270	408609	496061
271	410146	494588
272	411700	493135
273	413169	491581
274	414615	490000
275	416023	488375
276	417397	486712
277	418761	485040
278	420217	483476
279	421676	481915
280	423283	480524
281	424859	479096
282	426390	477617
283	427883	476096
284	429382	474580
285	430801	472977
286	432213	471369
287	433675	469815
288	435041	468158
289	436405	466502
290	437840	464923
291	439159	463223
292	440642	461696
293	442142	460189
294	443891	458938
295	445407	457445
296	446863	455891
297	448261	454278
